iter	Passed	Remaining
0	1	163
1	3	154
2	4	146
3	6	146
4	7	137
5	8	130
6	9	124
7	10	123
8	11	119
9	13	117
10	14	114
11	15	113
12	16	110
13	17	108
14	18	107
15	19	104
16	20	101
17	21	98
18	22	95
19	23	93
20	24	91
21	25	89
22	26	88
23	27	86
24	28	84
25	29	83
26	30	81
27	31	79
28	32	78
29	33	77
30	34	75
31	35	74
32	35	72
33	36	71
34	38	70
35	38	69
36	39	67
37	40	66
38	41	65
39	42	64
40	43	62
41	44	60
42	44	59
43	45	58
44	46	57
45	47	56
46	48	54
47	49	53
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	55	45
55	56	44
56	57	43
57	58	42
58	59	41
59	60	40
60	61	39
61	62	38
62	63	37
63	64	36
64	65	35
65	66	34
66	67	33
67	68	32
68	69	31
69	70	30
70	71	29
71	72	28
72	72	26
73	73	25
74	74	24
75	75	23
76	76	22
77	77	21
78	78	20
79	79	19
80	80	18
81	81	17
82	82	16
83	83	15
84	84	14
85	85	13
86	86	12
87	87	11
88	88	10
89	89	9
90	90	8
91	91	7
92	91	6
93	92	5
94	93	4
95	94	3
96	95	2
97	96	1
98	97	0
99	98	0
