iter	RMSE
0	40.32036274
1	39.1418505
2	37.9001457
3	36.78257467
4	35.64021442
5	34.50334125
6	33.38664959
7	32.30504096
8	31.26579844
9	30.25926862
10	29.30626984
11	28.33792538
12	27.44917876
13	26.56940389
14	25.76243439
15	24.92317597
16	24.2178127
17	23.52991225
18	22.76627799
19	22.08115461
20	21.40339298
21	20.76081489
22	20.16143781
23	19.54710366
24	18.97991427
25	18.37680234
26	17.84147898
27	17.29259336
28	16.81569396
29	16.29423592
30	15.80049134
31	15.31507015
32	14.8830387
33	14.42360227
34	13.98970283
35	13.61121263
36	13.19669717
37	12.80834605
38	12.44407802
39	12.10423557
40	11.75347981
41	11.41628526
42	11.08931339
43	10.78283584
44	10.49384604
45	10.17015154
46	9.857495113
47	9.571500553
48	9.304080473
49	9.046514596
50	8.790325868
51	8.539589204
52	8.280010712
53	8.062284494
54	7.838981053
55	7.638724636
56	7.440706404
57	7.244211525
58	7.031871652
59	6.834259166
60	6.644108471
61	6.462009627
62	6.296933903
63	6.134896088
64	5.977087773
65	5.822056485
66	5.683281927
67	5.531948473
68	5.387514934
69	5.24984015
70	5.112970101
71	4.987715622
72	4.860845974
73	4.732508004
74	4.623241255
75	4.504659263
76	4.39044369
77	4.294578296
78	4.19833889
79	4.104444366
80	4.012973606
81	3.925885023
82	3.837912226
83	3.752251605
84	3.676299256
85	3.59203415
86	3.517123678
87	3.447237937
88	3.376527702
89	3.306301497
90	3.244013996
91	3.182668205
92	3.122570615
93	3.071481185
94	3.020063146
95	2.968138891
96	2.914778792
97	2.864700148
98	2.812994179
99	2.760170193
100	2.714162554
101	2.669342531
102	2.621709777
103	2.582288072
104	2.543406945
105	2.505847285
106	2.467499556
107	2.431286424
108	2.397762305
109	2.365773296
110	2.330100474
111	2.296145335
112	2.285701712
113	2.258395305
114	2.229070203
115	2.197918945
116	2.168678925
117	2.158617496
118	2.141172793
119	2.133108216
120	2.10612608
121	2.096438997
122	2.086890028
123	2.062507879
124	2.051062048
125	2.042464589
126	2.026732857
127	2.001664606
128	1.981162536
129	1.972446359
130	1.948655336
131	1.923139911
132	1.90633609
133	1.897204994
134	1.887469222
135	1.880893019
136	1.873412841
137	1.864296067
138	1.84168917
139	1.831411692
140	1.809403296
141	1.796558183
142	1.777269067
143	1.770039671
144	1.764408916
145	1.758087687
146	1.750897837
147	1.744297721
148	1.738995868
149	1.731777368
150	1.713260494
151	1.707927668
152	1.701925998
153	1.685998963
154	1.680494757
155	1.675598829
156	1.668568868
157	1.663069475
158	1.658106885
159	1.641539334
160	1.634710662
161	1.630236694
162	1.62541581
163	1.608492583
164	1.594976974
165	1.588137151
166	1.571839117
167	1.567691897
168	1.559635125
