iter	Passed	Remaining
0	2	2488
1	5	2615
2	6	2143
3	7	1933
4	8	1780
5	11	1971
6	13	1925
7	14	1823
8	17	1913
9	19	1881
10	20	1811
11	22	1836
12	23	1820
13	26	1878
14	29	1945
15	31	1948
16	37	2140
17	39	2181
18	42	2193
19	43	2152
20	46	2171
21	48	2169
22	50	2130
23	56	2280
24	57	2241
25	61	2285
26	62	2243
27	63	2203
28	65	2197
29	67	2181
30	68	2146
31	69	2111
32	71	2102
33	73	2079
34	75	2078
35	76	2054
36	78	2048
37	81	2054
38	82	2032
39	84	2028
40	86	2026
41	87	2001
42	88	1976
43	91	1979
44	93	1990
45	95	1971
46	96	1962
47	99	1963
48	100	1943
49	102	1939
50	103	1920
51	104	1912
52	106	1897
53	109	1913
54	111	1914
55	112	1895
56	115	1910
57	117	1909
58	118	1895
59	121	1895
60	123	1896
61	124	1882
62	126	1882
63	129	1900
64	131	1885
65	133	1891
66	136	1895
67	137	1882
68	139	1883
69	141	1880
70	142	1868
71	144	1857
72	146	1856
73	148	1856
74	151	1865
75	154	1880
76	155	1867
77	157	1866
78	159	1864
79	161	1853
80	162	1841
81	164	1840
82	166	1837
83	167	1824
84	168	1814
85	170	1815
86	172	1810
87	173	1798
88	177	1811
89	178	1806
90	180	1803
91	182	1796
92	184	1796
93	185	1786
94	188	1791
95	190	1794
96	191	1784
97	194	1788
98	196	1788
99	197	1778
100	199	1772
101	200	1765
102	202	1766
103	204	1757
104	206	1761
105	209	1765
106	210	1756
107	213	1761
108	214	1756
109	216	1748
110	218	1747
111	219	1740
112	221	1740
113	222	1732
114	225	1734
115	227	1733
116	228	1724
117	230	1726
118	232	1720
119	233	1713
120	234	1704
121	236	1705
122	237	1696
123	240	1696
124	241	1689
125	244	1694
126	246	1695
127	247	1688
128	250	1690
129	252	1693
130	254	1685
131	256	1683
132	258	1687
133	260	1680
134	262	1680
135	263	1672
136	265	1671
137	266	1664
138	268	1664
139	269	1658
140	271	1656
141	273	1649
142	274	1647
143	276	1643
144	277	1634
145	277	1624
146	279	1618
147	280	1616
148	281	1607
149	283	1605
150	284	1599
151	285	1592
152	286	1587
153	288	1586
154	289	1580
155	291	1575
156	292	1571
157	293	1565
158	295	1561
159	296	1556
160	298	1557
161	300	1556
162	301	1550
163	304	1553
164	306	1552
165	307	1547
166	309	1545
167	310	1537
168	313	1539
169	314	1533
170	316	1532
171	317	1526
172	318	1523
173	319	1518
174	321	1513
175	321	1506
176	322	1500
177	324	1497
178	325	1490
179	327	1490
180	328	1484
181	330	1487
182	332	1484
183	333	1479
184	335	1478
185	336	1470
186	336	1463
187	337	1458
188	340	1460
189	341	1457
190	342	1451
191	343	1446
192	345	1446
193	348	1446
194	348	1440
195	350	1435
196	353	1439
197	354	1436
198	355	1430
199	357	1429
200	359	1428
201	360	1424
202	362	1422
203	364	1421
204	365	1418
205	366	1413
206	368	1410
207	369	1407
208	371	1405
209	372	1399
210	373	1395
211	375	1394
212	377	1394
213	378	1390
214	380	1388
215	382	1387
216	390	1410
217	395	1420
218	397	1418
219	399	1417
220	400	1411
221	402	1411
222	403	1407
223	404	1401
224	405	1396
225	406	1392
226	408	1391
227	409	1387
228	410	1380
229	412	1379
230	414	1379
231	415	1376
232	416	1370
233	419	1373
234	420	1368
235	421	1365
236	424	1365
237	426	1364
238	427	1360
239	428	1356
240	432	1361
241	433	1358
242	434	1353
243	436	1353
244	438	1352
245	439	1348
246	440	1342
247	442	1342
248	444	1339
249	445	1336
250	447	1334
251	449	1333
252	452	1334
253	453	1331
254	455	1331
255	457	1330
256	458	1326
257	461	1326
258	463	1326
259	464	1322
260	466	1321
261	468	1319
262	470	1317
263	471	1313
264	473	1312
265	475	1310
266	475	1306
267	476	1302
268	478	1301
269	479	1297
270	481	1296
271	483	1293
272	485	1293
273	487	1291
274	488	1288
275	491	1288
276	492	1286
277	494	1283
278	494	1277
279	496	1275
280	497	1272
281	499	1271
282	500	1267
283	501	1264
284	503	1263
285	505	1262
286	506	1259
287	508	1258
288	512	1260
289	513	1257
290	515	1256
291	518	1256
292	519	1253
293	521	1251
294	522	1248
295	524	1247
296	525	1244
297	528	1244
298	530	1244
299	532	1241
300	534	1240
301	535	1237
302	536	1235
303	539	1234
304	542	1235
305	543	1232
306	546	1233
307	548	1232
308	549	1228
309	550	1226
310	552	1223
311	554	1223
312	555	1220
313	558	1219
314	560	1218
315	561	1215
316	563	1214
317	565	1211
318	566	1209
319	567	1206
320	570	1206
321	571	1204
322	573	1201
323	575	1200
324	576	1198
325	578	1196
326	579	1193
327	581	1191
328	583	1189
329	585	1188
330	586	1185
331	588	1184
332	590	1182
333	591	1179
334	592	1176
335	594	1174
336	596	1173
337	597	1170
338	599	1167
339	600	1166
340	602	1164
341	603	1160
342	604	1157
343	606	1157
344	608	1154
345	609	1152
346	611	1150
347	612	1148
348	614	1145
349	615	1142
350	616	1139
351	618	1138
352	619	1136
353	621	1133
354	622	1130
355	625	1130
356	627	1129
357	628	1126
358	629	1124
359	631	1121
360	632	1120
361	634	1117
362	635	1114
363	636	1112
364	638	1111
365	640	1108
366	641	1105
367	642	1104
368	644	1102
369	645	1099
370	646	1096
371	648	1095
372	650	1093
373	651	1091
374	652	1088
375	654	1086
376	656	1085
377	658	1082
378	659	1080
379	661	1078
380	662	1077
381	664	1074
382	665	1071
383	667	1070
384	668	1068
385	669	1065
386	670	1062
387	672	1060
388	675	1060
389	676	1058
390	678	1056
391	695	1078
392	696	1076
393	698	1074
394	700	1072
395	702	1071
396	703	1068
397	706	1068
398	708	1067
399	709	1064
400	711	1063
401	713	1060
402	714	1058
403	715	1055
404	717	1054
405	719	1052
406	721	1050
407	722	1048
408	724	1046
409	726	1044
410	727	1042
411	728	1039
412	729	1037
413	732	1037
414	734	1034
415	740	1038
416	746	1043
417	747	1041
418	750	1040
419	752	1038
420	753	1035
421	755	1034
422	757	1032
423	758	1030
424	759	1027
425	761	1025
426	764	1025
427	765	1022
428	766	1019
429	767	1017
430	770	1016
431	771	1014
432	772	1012
433	774	1010
434	776	1008
435	777	1006
436	779	1004
437	781	1002
438	782	1000
439	783	997
440	785	996
441	788	996
442	790	993
443	792	992
444	794	991
445	795	988
446	796	985
447	799	984
448	800	982
449	801	980
450	803	978
451	821	996
452	822	993
453	825	992
454	826	990
455	827	987
456	828	984
457	830	982
